timestamp,frame_id,packet_type,throttle,brake,steering,speed,gear,rpm,drs,position_x,position_y,position_z
2025-12-28T17:53:40.721706,2000954496,6,51,0,0.0,1,-128,18175,0,,,
2025-12-28T17:53:40.823899,2034508935,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:40.826297,2034508935,6,51,0,0.0,1,-128,18175,0,,,
2025-12-28T17:53:40.922649,2068063373,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:40.925364,2068063373,6,51,0,0.0,1,-128,18431,0,,,
2025-12-28T17:53:41.126327,2135172250,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.128766,2135172250,6,51,0,0.0,1,-128,18431,0,,,
2025-12-28T17:53:41.325344,2168726688,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.327524,2168726688,6,51,0,0.0,1,-128,18431,0,,,
2025-12-28T17:53:41.342885,2202281127,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.345264,2202281127,6,51,0,0.0,1,-128,18687,0,,,
2025-12-28T17:53:41.432910,2235835565,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.435414,2235835565,6,51,0,0.0,1,-128,18687,0,,,
2025-12-28T17:53:41.638299,2302944442,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.640787,2302944442,6,51,0,0.0,1,-128,18687,0,,,
2025-12-28T17:53:41.740789,2336498880,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.743165,2336498880,6,51,0,0.0,1,-128,18687,0,,,
2025-12-28T17:53:41.847956,2370053319,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:41.850338,2370053319,6,51,0,0.0,1,-128,18943,0,,,
2025-12-28T17:53:41.945645,2403607757,0,,,,,,,,0.0,-0.01,-0.0
2025-12-28T17:53:41.948015,2403607757,6,51,0,0.0,1,-128,18943,0,,,
2025-12-28T17:53:42.150239,2470716634,0,,,,,,,,0.0,-0.02,-0.0
2025-12-28T17:53:42.152705,2470716634,6,51,0,0.0,1,-128,18943,0,,,
